시도명,시군구명,연령대코드,연령별_사용빈도,총결제금액,연령별_결제금액
경기도,양주시,80,71,2123902766,29914124
경기도,양주시,70,432,2123902766,4916442
경기도,양주시,60,2867,2123902766,740811
경기도,양주시,50,14527,2123902766,146204
경기도,양주시,40,37827,2123902766,56148
경기도,양주시,30,22347,2123902766,95042
경기도,양주시,20,4822,2123902766,440461
경기도,양주시,10,1042,2123902766,2038295
경기도,가평군,80,7,321285746,45897964
경기도,가평군,70,121,321285746,2655255
경기도,가평군,60,609,321285746,527563
경기도,가평군,50,4320,321285746,74372
경기도,가평군,40,4304,321285746,74649
경기도,가평군,30,2871,321285746,111908
경기도,가평군,20,692,321285746,464286
경기도,가평군,10,180,321285746,1784921
경기도,"고양시 덕양구",90,1,2727785831,2727785831
경기도,"고양시 덕양구",80,46,2727785831,59299692
경기도,"고양시 덕양구",70,602,2727785831,4531206
경기도,"고양시 덕양구",60,4173,2727785831,653676
경기도,"고양시 덕양구",50,21065,2727785831,129494
경기도,"고양시 덕양구",40,42815,2727785831,63711
경기도,"고양시 덕양구",30,27129,2727785831,100549
경기도,"고양시 덕양구",20,8360,2727785831,326291
경기도,"고양시 덕양구",10,790,2727785831,3452894
경기도,"고양시 일산동구",90,6,2294550632,382425106
경기도,"고양시 일산동구",80,35,2294550632,65558590
경기도,"고양시 일산동구",70,245,2294550632,9365513
경기도,"고양시 일산동구",60,2588,2294550632,886612
경기도,"고양시 일산동구",50,14743,2294550632,155637
경기도,"고양시 일산동구",40,29713,2294550632,77224
경기도,"고양시 일산동구",30,17938,2294550632,127916
경기도,"고양시 일산동구",20,9892,2294550632,231961
경기도,"고양시 일산동구",10,775,2294550632,2960711
경기도,"고양시 일산서구",80,56,2135130659,38127334
경기도,"고양시 일산서구",70,424,2135130659,5035686
경기도,"고양시 일산서구",60,3294,2135130659,648188
경기도,"고양시 일산서구",50,16154,2135130659,132174
경기도,"고양시 일산서구",40,30551,2135130659,69888
경기도,"고양시 일산서구",30,16391,2135130659,130263
경기도,"고양시 일산서구",20,5696,2135130659,374848
경기도,"고양시 일산서구",10,688,2135130659,3103388
경기도,과천시,90,26,725739297,27913050
경기도,과천시,80,6,725739297,120956550
경기도,과천시,70,363,725739297,1999282
경기도,과천시,60,1213,725739297,598302
경기도,과천시,50,7329,725739297,99023
경기도,과천시,40,12768,725739297,56841
경기도,과천시,30,6667,725739297,108856
경기도,과천시,20,2156,725739297,336614
경기도,과천시,10,407,725739297,1783144
경기도,광명시,80,86,1832128861,21303824
경기도,광명시,70,693,1832128861,2643765
경기도,광명시,60,4969,1832128861,368712
경기도,광명시,50,19562,1832128861,93658
경기도,광명시,40,32250,1832128861,56811
경기도,광명시,30,15760,1832128861,116252
경기도,광명시,20,5256,1832128861,348579
경기도,광명시,10,575,1832128861,3186312
경기도,광주시,80,8,668994161,83624271
경기도,광주시,70,104,668994161,6432637
경기도,광주시,60,1067,668994161,626987
경기도,광주시,50,6005,668994161,111407
경기도,광주시,40,11221,668994161,59620
경기도,광주시,30,8047,668994161,83136
경기도,광주시,20,2372,668994161,282039
경기도,광주시,10,322,668994161,2077622
경기도,구리시,70,239,752865536,3150066
경기도,구리시,60,1181,752865536,637482
경기도,구리시,50,6400,752865536,117636
경기도,구리시,40,11855,752865536,63507
경기도,구리시,30,7480,752865536,100651
경기도,구리시,20,2250,752865536,334607
경기도,구리시,10,197,752865536,3821653
경기도,구리시,80,8,752865536,94108192
경기도,군포시,90,2,6430662023,3215331012
경기도,군포시,80,859,6430662023,7486219
경기도,군포시,70,5587,6430662023,1151005
경기도,군포시,60,22528,6430662023,285452
경기도,군포시,50,64306,6430662023,100001
경기도,군포시,40,104262,6430662023,61678
경기도,군포시,30,54093,6430662023,118882
경기도,군포시,20,19770,6430662023,325274
경기도,군포시,10,3431,6430662023,1874283
경기도,남양주시,90+,25,2628500429,105140018
경기도,남양주시,80,62,2628500429,42395169
경기도,남양주시,70,837,2628500429,3140383
경기도,남양주시,60,4449,2628500429,590808
경기도,남양주시,50,23401,2628500429,112325
경기도,남양주시,40,48161,2628500429,54578
경기도,남양주시,30,25392,2628500429,103517
경기도,남양주시,20,5592,2628500429,470047
경기도,남양주시,10,526,2628500429,4997150
경기도,동두천시,80,18,286318901,15906606
경기도,동두천시,70,195,286318901,1468303
경기도,동두천시,60,889,286318901,322069
경기도,동두천시,50,2934,286318901,97587
경기도,동두천시,40,4457,286318901,64241
경기도,동두천시,30,3773,286318901,75887
경기도,동두천시,20,1375,286318901,208232
경기도,동두천시,10,169,286318901,1694195
경기도,부천시,90,2,9600328514,4800164257
경기도,부천시,80,514,9600328514,18677682
경기도,부천시,70,3263,9600328514,2942179
경기도,부천시,60,28770,9600328514,333693
경기도,부천시,50,88309,9600328514,108713
경기도,부천시,40,154522,9600328514,62130
경기도,부천시,30,120044,9600328514,79974
경기도,부천시,20,49636,9600328514,193415
경기도,부천시,10,3459,9600328514,2775464
경기도,"성남시 분당구",50,3,595100,198367
경기도,"성남시 분당구",40,9,595100,66123
경기도,"성남시 분당구",30,8,595100,74388
경기도,"성남시 수정구",30,2,335000,167500
