년월,시도명,시군구명,연령대코드,결제상품명,사용빈도,year,month,year_month,행정구역
2019-03-01,경기도,양주시,40,양주사랑카드,3,2019,3,2019-03,양주시
2019-04-01,경기도,가평군,20,가평사랑상품권,3,2019,4,2019-04,가평군
2019-04-01,경기도,가평군,30,가평사랑상품권,37,2019,4,2019-04,가평군
2019-04-01,경기도,가평군,40,오산화폐 오색전,1,2019,4,2019-04,가평군
2019-04-01,경기도,가평군,40,가평사랑상품권,23,2019,4,2019-04,가평군
2019-04-01,경기도,가평군,50,가평사랑상품권,85,2019,4,2019-04,가평군
2019-04-01,경기도,가평군,60,고양페이카드,1,2019,4,2019-04,가평군
2019-04-01,경기도,가평군,60,가평사랑상품권,2,2019,4,2019-04,가평군
2019-04-01,경기도,가평군,60,수원페이,1,2019,4,2019-04,가평군
2019-04-01,경기도,고양시 덕양구,20,고양페이카드,21,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,30,수원페이,2,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,30,안산사랑상품권 다온,1,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,30,과천화폐 과천토리,1,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,30,고양페이카드,39,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,40,의정부사랑카드,1,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,40,고양페이카드,58,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,40,수원페이,3,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,40,용인와이페이,1,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,50,고양페이카드,64,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,50,용인와이페이,1,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,60,고양페이카드,8,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 덕양구,60,수원페이,1,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산동구,10,고양페이카드,4,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산동구,20,고양페이카드,19,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산동구,30,고양페이카드,40,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산동구,40,부천페이,2,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산동구,40,고양페이카드,30,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산동구,50,고양페이카드,26,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산동구,50,부천페이,1,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산동구,60,고양페이카드,4,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산서구,20,고양페이카드,8,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산서구,20,안산사랑상품권 다온,1,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산서구,30,Thank You Pay-N,2,2019,4,2019-04,고양시
2019-04-01,경기도,고양시 일산서구,30,용인와이페이,1,2019,4,2019-04,고양시
